steady             = 1                 
report             = 1                 
setting            = 1                 
records            = 1                 
defund             = 1                 
abolish            = 1                 
crazy              = 1                 
67                 = 1                 
shot               = 1                 
13                 = 1                 
killed             = 1                 
shootings          = 1                 
nyc                = 1                 
demanding          = 1                 
able               = 1                 
asked              = 1                 
afternoons         = 1                 
worst              = 1                 
msdnc              = 1                 
territory          = 1                 
@newsmax           = 1                 
gladly             = 1                 
puts               = 1                 
leading            = 1                 
tired              = 1                 
watching           = 1                 
wow                = 1                 
manipulating       = 1                 
words              = 1                 
meaning            = 1                 
brazen             = 1                 
desperate          = 1                 
wonderful          = 1                 
day                = 1                 
celebrate          = 1                 
heroes             = 1                 
heritage           = 1                 
freedom            = 1                 
happy              = 1                 
#salutetoamerica   = 1                 
speaking           = 1                 
7                  = 1                 
00                 = 1                 
p                  = 1                 
m                  = 1                 
nice               = 1                 
comments           = 1                 
last               = 1                 
east               = 1                 
coast              = 1                 
sky                = 1                 
check              = 1                 
local              = 1                 
listings           = 1                 
being              = 1                 
laughed            = 1                 
beginning          = 1                 
clue               = 1                 
wouldn’t           = 1                 
calling            = 1                 
shots              = 1                 
wasn’t             = 1                 
set                = 1                 
still              = 1                 
squatter’s         = 1                 
(anarchist’s)      = 1                 
